stop_name,time
向陽ニュータウン前,17:49
向陽ニュータウン前,18:14
向陽ニュータウン前,18:44
向陽ニュータウン前,19:24
向陽ニュータウン前,20:19
向陽ニュータウン前,21:19
山岸六丁目,6:34
山岸六丁目,7:10
山岸六丁目,7:25
山岸六丁目,7:40
山岸六丁目,7:50
山岸六丁目,8:20
山岸六丁目,9:00
山岸六丁目,9:30
山岸六丁目,10:00
山岸六丁目,10:30
山岸六丁目,11:00
山岸六丁目,11:30
山岸六丁目,12:00
山岸六丁目,12:30
山岸六丁目,13:00
山岸六丁目,13:30
山岸六丁目,14:00
山岸六丁目,14:30
山岸六丁目,15:00
山岸六丁目,15:30
山岸六丁目,16:00
山岸六丁目,16:30
山岸六丁目,16:50
山岸六丁目,17:10
山岸六丁目,17:25
山岸六丁目,17:50
山岸六丁目,18:15
山岸六丁目,18:45
山岸六丁目,19:25
山岸六丁目,20:20
山岸六丁目,21:20
洞清水団地前,6:35
洞清水団地前,7:11
洞清水団地前,7:26
洞清水団地前,7:41
洞清水団地前,7:51
洞清水団地前,8:21
洞清水団地前,9:01
洞清水団地前,9:31
洞清水団地前,10:01
洞清水団地前,10:31
洞清水団地前,11:01
洞清水団地前,11:31
洞清水団地前,12:01
洞清水団地前,12:31
洞清水団地前,13:01
洞清水団地前,13:31
洞清水団地前,14:01
洞清水団地前,14:31
洞清水団地前,15:01
洞清水団地前,15:31
洞清水団地前,16:01
洞清水団地前,16:31
洞清水団地前,16:51
洞清水団地前,17:11
洞清水団地前,17:26
洞清水団地前,17:51
洞清水団地前,18:16
洞清水団地前,18:46
洞清水団地前,19:26
洞清水団地前,20:21
洞清水団地前,21:21
山岸老人いこいの家前,6:35
山岸老人いこいの家前,7:11
山岸老人いこいの家前,7:26
山岸老人いこいの家前,7:41
山岸老人いこいの家前,7:51
山岸老人いこいの家前,8:21
山岸老人いこいの家前,9:01
山岸老人いこいの家前,9:31
山岸老人いこいの家前,10:01
山岸老人いこいの家前,10:31
山岸老人いこいの家前,11:01
山岸老人いこいの家前,11:31
山岸老人いこいの家前,12:01
山岸老人いこいの家前,12:31
山岸老人いこいの家前,13:01
山岸老人いこいの家前,13:31
山岸老人いこいの家前,14:01
山岸老人いこいの家前,14:31
山岸老人いこいの家前,15:01
山岸老人いこいの家前,15:31
山岸老人いこいの家前,16:01
山岸老人いこいの家前,16:31
山岸老人いこいの家前,16:51
山岸老人いこいの家前,17:11
山岸老人いこいの家前,17:26
山岸老人いこいの家前,17:51
山岸老人いこいの家前,18:16
山岸老人いこいの家前,18:46
山岸老人いこいの家前,19:26
山岸老人いこいの家前,20:21
山岸老人いこいの家前,21:21
白百合学園入口,6:36
白百合学園入口,7:12
白百合学園入口,7:27
白百合学園入口,7:42
白百合学園入口,7:52
白百合学園入口,8:22
白百合学園入口,9:02
白百合学園入口,9:32
白百合学園入口,10:02
白百合学園入口,10:32
白百合学園入口,11:02
白百合学園入口,11:32
白百合学園入口,12:02
白百合学園入口,12:32
白百合学園入口,13:02
白百合学園入口,13:32
白百合学園入口,14:02
白百合学園入口,14:32
白百合学園入口,15:02
白百合学園入口,15:32
白百合学園入口,16:02
白百合学園入口,16:32
白百合学園入口,16:52
白百合学園入口,17:12
白百合学園入口,17:27
白百合学園入口,17:52
白百合学園入口,18:17
白百合学園入口,18:47
白百合学園入口,19:27
白百合学園入口,20:22
白百合学園入口,21:22
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,16:25
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,16:27
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
白百合学園入口（学園経由専用）,↓
山岸四丁目,6:37
山岸四丁目,7:13
山岸四丁目,7:28
山岸四丁目,7:43
山岸四丁目,7:53
山岸四丁目,8:23
山岸四丁目,9:03
山岸四丁目,9:33
山岸四丁目,10:03
山岸四丁目,10:33
山岸四丁目,11:03
山岸四丁目,11:33
山岸四丁目,12:03
山岸四丁目,12:33
山岸四丁目,13:03
山岸四丁目,13:33
山岸四丁目,14:03
山岸四丁目,14:33
山岸四丁目,15:03
山岸四丁目,15:33
山岸四丁目,16:03
山岸四丁目,16:28
山岸四丁目,16:33
山岸四丁目,16:53
山岸四丁目,17:13
山岸四丁目,17:28
山岸四丁目,17:53
山岸四丁目,18:18
山岸四丁目,18:48
山岸四丁目,19:28
山岸四丁目,20:23
山岸四丁目,21:23
桜ヶ丘団地前,6:38
桜ヶ丘団地前,7:14
桜ヶ丘団地前,7:29
桜ヶ丘団地前,7:44
桜ヶ丘団地前,7:54
桜ヶ丘団地前,8:24
桜ヶ丘団地前,9:04
桜ヶ丘団地前,9:34
桜ヶ丘団地前,10:04
桜ヶ丘団地前,10:34
桜ヶ丘団地前,11:04
桜ヶ丘団地前,11:34
桜ヶ丘団地前,12:04
桜ヶ丘団地前,12:34
桜ヶ丘団地前,13:04
桜ヶ丘団地前,13:34
桜ヶ丘団地前,14:04
桜ヶ丘団地前,14:34
桜ヶ丘団地前,15:04
桜ヶ丘団地前,15:34
桜ヶ丘団地前,16:04
桜ヶ丘団地前,16:29
桜ヶ丘団地前,16:34
桜ヶ丘団地前,16:54
桜ヶ丘団地前,17:14
桜ヶ丘団地前,17:29
桜ヶ丘団地前,17:54
桜ヶ丘団地前,18:19
桜ヶ丘団地前,18:49
桜ヶ丘団地前,19:29
桜ヶ丘団地前,20:24
桜ヶ丘団地前,21:24
紅葉ヶ丘団地前,6:39
紅葉ヶ丘団地前,7:15
紅葉ヶ丘団地前,7:30
紅葉ヶ丘団地前,7:45
紅葉ヶ丘団地前,7:55
紅葉ヶ丘団地前,8:25
紅葉ヶ丘団地前,9:05
紅葉ヶ丘団地前,9:35
紅葉ヶ丘団地前,10:05
紅葉ヶ丘団地前,10:35
紅葉ヶ丘団地前,11:05
紅葉ヶ丘団地前,11:35
紅葉ヶ丘団地前,12:05
紅葉ヶ丘団地前,12:35
紅葉ヶ丘団地前,13:05
紅葉ヶ丘団地前,13:35
紅葉ヶ丘団地前,14:05
紅葉ヶ丘団地前,14:35
紅葉ヶ丘団地前,15:05
紅葉ヶ丘団地前,15:35
紅葉ヶ丘団地前,16:05
紅葉ヶ丘団地前,16:30
紅葉ヶ丘団地前,16:35
紅葉ヶ丘団地前,16:55
紅葉ヶ丘団地前,17:15
紅葉ヶ丘団地前,17:30
紅葉ヶ丘団地前,17:55
紅葉ヶ丘団地前,18:20
紅葉ヶ丘団地前,18:50
紅葉ヶ丘団地前,19:30
紅葉ヶ丘団地前,20:25
紅葉ヶ丘団地前,21:25
山岸小学校前,6:40
山岸小学校前,7:16
山岸小学校前,7:31
山岸小学校前,7:46
山岸小学校前,7:56
山岸小学校前,8:26
山岸小学校前,9:06
山岸小学校前,9:36
山岸小学校前,10:06
山岸小学校前,10:36
山岸小学校前,11:06
山岸小学校前,11:36
山岸小学校前,12:06
山岸小学校前,12:36
山岸小学校前,13:06
山岸小学校前,13:36
山岸小学校前,14:06
山岸小学校前,14:36
山岸小学校前,15:06
山岸小学校前,15:36
山岸小学校前,16:06
山岸小学校前,16:31
山岸小学校前,16:36
山岸小学校前,16:56
山岸小学校前,17:16
山岸小学校前,17:31
山岸小学校前,17:56
山岸小学校前,18:21
山岸小学校前,18:51
山岸小学校前,19:31
山岸小学校前,20:26
山岸小学校前,21:26
山岸,6:41
山岸,7:17
山岸,7:32
山岸,7:47
山岸,7:57
山岸,8:27
山岸,9:07
山岸,9:37
山岸,10:07
山岸,10:37
山岸,11:07
山岸,11:37
山岸,12:07
山岸,12:37
山岸,13:07
山岸,13:37
山岸,14:07
山岸,14:37
山岸,15:07
山岸,15:37
山岸,16:07
山岸,16:32
山岸,16:37
山岸,16:57
山岸,17:17
山岸,17:32
山岸,17:57
山岸,18:22
山岸,18:52
山岸,19:32
山岸,20:27
山岸,21:27
中央公民館前,6:42
中央公民館前,7:18
中央公民館前,7:33
中央公民館前,7:48
中央公民館前,7:58
中央公民館前,8:28
中央公民館前,9:08
中央公民館前,9:38
中央公民館前,10:08
中央公民館前,10:38
中央公民館前,11:08
中央公民館前,11:38
中央公民館前,12:08
中央公民館前,12:38
中央公民館前,13:08
中央公民館前,13:38
中央公民館前,14:08
中央公民館前,14:38
中央公民館前,15:08
中央公民館前,15:38
中央公民館前,16:08
中央公民館前,16:33
中央公民館前,16:38
中央公民館前,16:58
中央公民館前,17:18
中央公民館前,17:33
中央公民館前,17:58
中央公民館前,18:23
中央公民館前,18:53
中央公民館前,19:33
中央公民館前,20:28
中央公民館前,21:28
愛宕町,6:44
愛宕町,7:20
愛宕町,7:35
愛宕町,7:50
愛宕町,8:00
愛宕町,8:30
愛宕町,9:10
愛宕町,9:40
愛宕町,10:10
愛宕町,10:40
愛宕町,11:10
愛宕町,11:40
愛宕町,12:10
愛宕町,12:40
愛宕町,13:10
愛宕町,13:40
愛宕町,14:10
愛宕町,14:40
愛宕町,15:10
愛宕町,15:40
愛宕町,16:10
愛宕町,16:35
愛宕町,16:40
愛宕町,17:00
愛宕町,17:20
愛宕町,17:35
愛宕町,18:00
愛宕町,18:25
愛宕町,18:55
愛宕町,19:35
愛宕町,20:30
愛宕町,21:30
愛宕町口,6:45
愛宕町口,7:21
愛宕町口,7:36
愛宕町口,7:51
愛宕町口,8:01
愛宕町口,8:31
愛宕町口,9:11
愛宕町口,9:41
愛宕町口,10:11
愛宕町口,10:41
愛宕町口,11:11
愛宕町口,11:41
愛宕町口,12:11
愛宕町口,12:41
愛宕町口,13:11
愛宕町口,13:41
愛宕町口,14:11
愛宕町口,14:41
愛宕町口,15:11
愛宕町口,15:41
愛宕町口,16:11
愛宕町口,16:36
愛宕町口,16:41
愛宕町口,17:01
愛宕町口,17:21
愛宕町口,17:36
愛宕町口,18:01
愛宕町口,18:26
愛宕町口,18:56
愛宕町口,19:36
愛宕町口,20:31
愛宕町口,21:31
大手先口,6:45
大手先口,7:21
大手先口,7:36
大手先口,7:51
大手先口,8:01
大手先口,8:31
大手先口,9:11
大手先口,9:41
大手先口,10:11
大手先口,10:41
大手先口,11:11
大手先口,11:41
大手先口,12:11
大手先口,12:41
大手先口,13:11
大手先口,13:41
大手先口,14:11
大手先口,14:41
大手先口,15:11
大手先口,15:41
大手先口,16:11
大手先口,↓
大手先口,16:41
大手先口,17:01
大手先口,17:21
大手先口,17:36
大手先口,18:01
大手先口,18:26
大手先口,18:56
大手先口,19:36
大手先口,20:31
大手先口,21:31
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,16:37
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
